,fdr,tpr,fpr,shd,false_pos,false_neg,reserved_edges,pred_size,true_size,timing,causal_mech,dataset,dataset_name,dataset_index,algo
0,0.8,0.14285714285714285,0.19047619047619047,10,4,6,0,5,7,2.3070907592773438,linear_mechanism,medium_all_1,medium_all,1,gran_dag
0,1.0,0.0,0.19047619047619047,11,4,7,0,4,7,3607.784302711487,linear_mechanism,medium_all_1,medium_all,1,dag_gnn
0,0.8571428571428571,0.42857142857142855,0.8571428571428571,21,17,3,1,21,7,18.395323038101196,linear_mechanism,medium_all_1,medium_all,1,cam
0,0.6666666666666666,0.5714285714285714,0.38095238095238093,10,7,2,1,12,7,1.9732356071472168,linear_mechanism,medium_all_1,medium_all,1,notears
0,1.0,0.0,0.9047619047619048,19,15,3,4,19,7,1499.232594013214,linear_mechanism,medium_all_1,medium_all,1,rl_bic
0,1.0,0.0,0.19047619047619047,11,4,7,0,4,7,2883.154044866562,linear_mechanism,medium_all_1,medium_all,1,sam
0,0.6666666666666666,0.1111111111111111,0.10526315789473684,10,2,8,0,3,9,2.319275140762329,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,gran_dag
0,1.0,0.0,0.10526315789473684,11,2,9,0,2,9,3086.7996339797974,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,dag_gnn
0,0.782608695652174,0.5555555555555556,0.9473684210526315,21,17,3,1,23,9,18.177422046661377,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,cam
0,0.6666666666666666,0.7777777777777778,0.7368421052631579,15,13,1,1,21,9,2.340331792831421,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,notears
0,1.0,0.0,0.2631578947368421,12,5,9,0,5,9,1517.705631017685,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,rl_bic
0,0.6666666666666666,0.2222222222222222,0.21052631578947367,11,4,7,0,6,9,2883.124303340912,linear_mechanism,medium_no_issue_no_noise_1,medium_no_issue_no_noise,1,sam
0,1.0,0.0,0.36363636363636365,14,8,6,0,8,6,2.3177506923675537,linear_mechanism,medium_confounder_1,medium_confounder,1,gran_dag
0,1.0,0.0,0.045454545454545456,7,1,6,0,1,6,3244.095482826233,linear_mechanism,medium_confounder_1,medium_confounder,1,dag_gnn
0,0.76,1.0,0.8636363636363636,19,19,0,0,25,6,26.898813486099243,linear_mechanism,medium_confounder_1,medium_confounder,1,cam
0,0.8421052631578947,0.5,0.7272727272727273,18,15,2,1,19,6,2.436654806137085,linear_mechanism,medium_confounder_1,medium_confounder,1,notears
0,1.0,0.0,0.18181818181818182,9,4,6,0,4,6,1506.891674041748,linear_mechanism,medium_confounder_1,medium_confounder,1,rl_bic
0,1.0,0.0,0.18181818181818182,10,4,6,0,4,6,2881.618010044098,linear_mechanism,medium_confounder_1,medium_confounder,1,sam
0,0.9285714285714286,0.25,0.5416666666666666,16,13,3,0,14,4,2.2996931076049805,linear_mechanism,medium_confounder_2,medium_confounder,2,gran_dag
0,1.0,0.0,0.08333333333333333,6,2,4,0,2,4,4049.5149874687195,linear_mechanism,medium_confounder_2,medium_confounder,2,dag_gnn
0,0.875,0.75,0.875,21,20,0,1,24,4,23.08579397201538,linear_mechanism,medium_confounder_2,medium_confounder,2,cam
0,1.0,0.0,0.6666666666666666,19,15,3,1,16,4,3.6760592460632324,linear_mechanism,medium_confounder_2,medium_confounder,2,notears
0,1.0,0.0,0.16666666666666666,6,4,4,0,4,4,1518.3433756828308,linear_mechanism,medium_confounder_2,medium_confounder,2,rl_bic
