,fdr,tpr,fpr,shd,false_pos,false_neg,reserved_edges,pred_size,true_size,timing,causal_mech,dataset,dataset_name,dataset_index,algo
0,0.3333333333333333,0.07407407407407407,0.05555555555555555,25,0,24,1,3,27,2.3323750495910645,sigmoid_mix_mechanism,medium_unfaithful_3,medium_unfaithful,3,gran_dag
0,0.5,0.1111111111111111,0.16666666666666666,25,1,22,2,6,27,2835.1531636714935,sigmoid_mix_mechanism,medium_unfaithful_3,medium_unfaithful,3,dag_gnn
0,0.8,0.07407407407407407,0.4444444444444444,27,2,20,6,10,27,7135.9238023757935,sigmoid_mix_mechanism,medium_unfaithful_3,medium_unfaithful,3,rl_bic
0,0.625,0.3333333333333333,0.8333333333333334,27,9,12,6,24,27,3332.12717628479,sigmoid_mix_mechanism,medium_unfaithful_3,medium_unfaithful,3,sam
0,0.14285714285714285,0.1875,0.07692307692307693,26,0,25,1,7,32,2.331073760986328,sigmoid_mix_mechanism,medium_selection_bias_3,medium_selection_bias,3,gran_dag
0,0.4444444444444444,0.3125,0.6153846153846154,25,3,17,5,18,32,3866.091559648514,sigmoid_mix_mechanism,medium_selection_bias_3,medium_selection_bias,3,dag_gnn
0,0.8421052631578947,0.09375,1.2307692307692308,32,1,16,15,19,32,7056.58406662941,sigmoid_mix_mechanism,medium_selection_bias_3,medium_selection_bias,3,rl_bic
0,0.7333333333333333,0.125,0.8461538461538461,32,4,21,7,15,32,3324.842673778534,sigmoid_mix_mechanism,medium_selection_bias_3,medium_selection_bias,3,sam
0,0.16666666666666666,0.15625,0.07692307692307693,27,0,26,1,6,32,2.3189733028411865,sigmoid_mix_mechanism,medium_unfaithful_1,medium_unfaithful,1,gran_dag
0,0.6,0.0625,0.23076923076923078,32,2,29,1,5,32,3641.808600664139,sigmoid_mix_mechanism,medium_unfaithful_1,medium_unfaithful,1,dag_gnn
0,1.0,0.0,0.8461538461538461,37,6,27,5,11,32,7113.493590354919,sigmoid_mix_mechanism,medium_unfaithful_1,medium_unfaithful,1,rl_bic
0,0.6571428571428571,0.375,1.7692307692307692,30,11,8,12,35,32,3305.2544503211975,sigmoid_mix_mechanism,medium_unfaithful_1,medium_unfaithful,1,sam
0,0.4,0.20689655172413793,0.25,23,0,19,4,10,29,2.323317050933838,sigmoid_mix_mechanism,medium_confounder_1,medium_confounder,1,gran_dag
0,0.4,0.3103448275862069,0.375,21,1,15,5,15,29,4070.4982974529266,sigmoid_mix_mechanism,medium_confounder_1,medium_confounder,1,dag_gnn
0,0.6470588235294118,0.20689655172413793,0.6875,30,1,19,10,17,29,7126.983833551407,sigmoid_mix_mechanism,medium_confounder_1,medium_confounder,1,rl_bic
0,0.6388888888888888,0.4482758620689655,1.4375,27,11,4,12,36,29,3323.4983100891113,sigmoid_mix_mechanism,medium_confounder_1,medium_confounder,1,sam
0,0.3333333333333333,0.0625,0.07692307692307693,31,1,30,0,3,32,2.310922145843506,sigmoid_mix_mechanism,medium_confounder_2,medium_confounder,2,gran_dag
0,0.42857142857142855,0.125,0.23076923076923078,31,3,28,0,7,32,5675.286801338196,sigmoid_mix_mechanism,medium_confounder_2,medium_confounder,2,dag_gnn
0,0.9,0.03125,0.6923076923076923,35,5,28,4,10,32,7098.333753347397,sigmoid_mix_mechanism,medium_confounder_2,medium_confounder,2,rl_bic
0,0.4594594594594595,0.625,1.3076923076923077,23,11,6,6,37,32,3323.7846319675446,sigmoid_mix_mechanism,medium_confounder_2,medium_confounder,2,sam
0,0.0,0.08333333333333333,0.0,33,0,33,0,3,36,2.3305084705352783,sigmoid_mix_mechanism,medium_selection_bias_1,medium_selection_bias,1,gran_dag
0,0.4166666666666667,0.19444444444444445,0.5555555555555556,30,1,25,4,12,36,3679.0540544986725,sigmoid_mix_mechanism,medium_selection_bias_1,medium_selection_bias,1,dag_gnn
0,0.7,0.08333333333333333,0.7777777777777778,35,2,28,5,10,36,7143.327277898788,sigmoid_mix_mechanism,medium_selection_bias_1,medium_selection_bias,1,rl_bic
0,0.38461538461538464,0.4444444444444444,1.1111111111111112,24,4,14,6,26,36,3320.985678911209,sigmoid_mix_mechanism,medium_selection_bias_1,medium_selection_bias,1,sam
0,0.4,0.1111111111111111,0.1111111111111111,24,0,22,2,5,27,2.3188116550445557,sigmoid_mix_mechanism,medium_confounder_3,medium_confounder,3,gran_dag
0,0.3,0.25925925925925924,0.16666666666666666,22,2,19,1,10,27,4518.3306889534,sigmoid_mix_mechanism,medium_confounder_3,medium_confounder,3,dag_gnn
0,0.8,0.07407407407407407,0.4444444444444444,27,2,19,6,10,27,7143.797853708267,sigmoid_mix_mechanism,medium_confounder_3,medium_confounder,3,rl_bic
0,0.7083333333333334,0.25925925925925924,0.9444444444444444,28,8,11,9,24,27,3320.756647348404,sigmoid_mix_mechanism,medium_confounder_3,medium_confounder,3,sam
0,0.25,0.0967741935483871,0.07142857142857142,28,0,27,1,4,31,2.3231124877929688,sigmoid_mix_mechanism,medium_selection_bias_2,medium_selection_bias,2,gran_dag
0,0.3076923076923077,0.2903225806451613,0.2857142857142857,25,3,21,1,13,31,5174.375701665878,sigmoid_mix_mechanism,medium_selection_bias_2,medium_selection_bias,2,dag_gnn
0,0.7777777777777778,0.12903225806451613,1.0,33,3,19,11,18,31,7129.421008348465,sigmoid_mix_mechanism,medium_selection_bias_2,medium_selection_bias,2,rl_bic
0,0.7,0.1935483870967742,1.0,32,7,18,7,20,31,3321.531234264374,sigmoid_mix_mechanism,medium_selection_bias_2,medium_selection_bias,2,sam
0,0.631578947368421,0.2413793103448276,0.75,29,7,17,5,19,29,2.3240015506744385,sigmoid_mix_mechanism,medium_unfaithful_2,medium_unfaithful,2,gran_dag
0,0.47368421052631576,0.3448275862068966,0.5625,23,4,14,5,19,29,3061.4075021743774,sigmoid_mix_mechanism,medium_unfaithful_2,medium_unfaithful,2,dag_gnn
0,0.6521739130434783,0.27586206896551724,0.9375,27,3,12,12,23,29,7107.589140415192,sigmoid_mix_mechanism,medium_unfaithful_2,medium_unfaithful,2,rl_bic
0,0.75,0.2413793103448276,1.3125,31,9,10,12,28,29,3322.6158175468445,sigmoid_mix_mechanism,medium_unfaithful_2,medium_unfaithful,2,sam
0,0.6666666666666666,0.037037037037037035,0.1111111111111111,28,2,26,0,3,27,2.5988705158233643,sigmoid_add_mechanism,medium_unfaithful_3,medium_unfaithful,3,gran_dag
0,1.0,0.0,0.05555555555555555,28,1,27,0,1,27,5532.212144851685,sigmoid_add_mechanism,medium_unfaithful_3,medium_unfaithful,3,dag_gnn
0,0.0,0.0,0.0,27,0,27,0,0,27,8089.112599372864,sigmoid_add_mechanism,medium_unfaithful_3,medium_unfaithful,3,rl_bic
0,1.0,0.0,0.2222222222222222,30,4,27,0,4,27,5665.9598977565765,sigmoid_add_mechanism,medium_unfaithful_3,medium_unfaithful,3,sam
0,0.6470588235294118,0.1875,0.8461538461538461,32,6,21,5,17,32,2.4638469219207764,sigmoid_add_mechanism,medium_selection_bias_3,medium_selection_bias,3,gran_dag
0,0.0,0.0,0.0,32,0,32,0,0,32,5006.20267367363,sigmoid_add_mechanism,medium_selection_bias_3,medium_selection_bias,3,dag_gnn
0,0.0,0.0,0.0,32,0,32,0,0,32,7855.65834736824,sigmoid_add_mechanism,medium_selection_bias_3,medium_selection_bias,3,rl_bic
0,0.5,0.09375,0.23076923076923078,32,3,29,0,6,32,3316.3402755260468,sigmoid_add_mechanism,medium_selection_bias_3,medium_selection_bias,3,sam
0,0.6,0.125,0.46153846153846156,32,4,26,2,10,32,2.5709571838378906,sigmoid_add_mechanism,medium_unfaithful_1,medium_unfaithful,1,gran_dag
0,1.0,0.0,0.07692307692307693,33,1,32,0,1,32,4694.322376012802,sigmoid_add_mechanism,medium_unfaithful_1,medium_unfaithful,1,dag_gnn
0,0.0,0.0,0.0,32,0,32,0,0,32,7835.823805570602,sigmoid_add_mechanism,medium_unfaithful_1,medium_unfaithful,1,rl_bic
0,1.0,0.0,0.15384615384615385,33,1,31,1,2,32,3308.877498149872,sigmoid_add_mechanism,medium_unfaithful_1,medium_unfaithful,1,sam
0,0.7333333333333333,0.13793103448275862,0.6875,29,4,18,7,15,29,2.294696807861328,sigmoid_add_mechanism,medium_confounder_1,medium_confounder,1,gran_dag
0,0.0,0.0,0.0,29,0,29,0,0,29,3178.079750061035,sigmoid_add_mechanism,medium_confounder_1,medium_confounder,1,dag_gnn
0,0.0,0.0,0.0,29,0,29,0,0,29,7160.198434352875,sigmoid_add_mechanism,medium_confounder_1,medium_confounder,1,rl_bic
0,0.3333333333333333,0.06896551724137931,0.0625,28,1,27,0,3,29,3332.3904802799225,sigmoid_add_mechanism,medium_confounder_1,medium_confounder,1,sam
0,0.75,0.03125,0.23076923076923078,32,1,29,2,4,32,2.3153092861175537,sigmoid_add_mechanism,medium_confounder_2,medium_confounder,2,gran_dag
0,1.0,0.0,0.07692307692307693,33,1,32,0,1,32,4280.396144866943,sigmoid_add_mechanism,medium_confounder_2,medium_confounder,2,dag_gnn
0,1.0,0.0,0.07692307692307693,33,1,32,0,1,32,7097.128702640533,sigmoid_add_mechanism,medium_confounder_2,medium_confounder,2,rl_bic
0,0.5,0.03125,0.07692307692307693,32,1,31,0,2,32,3310.550313472748,sigmoid_add_mechanism,medium_confounder_2,medium_confounder,2,sam
0,0.75,0.08333333333333333,1.0,37,4,28,5,12,36,2.5459086894989014,sigmoid_add_mechanism,medium_selection_bias_1,medium_selection_bias,1,gran_dag
0,0.0,0.0,0.0,36,0,36,0,0,36,4590.888520479202,sigmoid_add_mechanism,medium_selection_bias_1,medium_selection_bias,1,dag_gnn
0,0.0,0.0,0.0,36,0,36,0,0,36,7699.97217297554,sigmoid_add_mechanism,medium_selection_bias_1,medium_selection_bias,1,rl_bic
0,0.0,0.0,0.0,36,0,36,0,0,36,3426.0709092617035,sigmoid_add_mechanism,medium_selection_bias_1,medium_selection_bias,1,sam
